,age,gender,presapp,female,male,white,black,hispanic,asian,otherrace,income,educ,democrat,republican,independent_other,ideology_7pt,AMID1,AMID2,AMID4,AMID5,Amid,mar2,mar4,mar6,banmuslims,patrol,noweapon,sharia,restrictmosques,attention,agegroup,weight,mar_short
0,31.0,2.0,0.3333333432674408,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,2.0,3.0,3.0,0.3125,4.0,4.0,4.0,0.75,0.0,0.5,0.75,0.0,1.0,0.2,3.9366362400140447,0.75
1,40.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,2.0,0.6875,4.0,4.0,4.0,0.75,1.0,0.75,0.5,1.0,1.0,0.4,1.1974007678917065,0.75
2,30.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,0.0,0.0,5.0,4.0,4.0,2.0,0.6875,5.0,5.0,4.0,1.0,0.75,1.0,0.75,0.75,1.0,0.2,0.6198155211008894,0.9166666
3,34.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.5,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.6252518524502932,1.0
4,49.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.5,3.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.25,0.4,0.6772468857874931,0.5
5,71.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.4,1.0,0.0,0.0,0.16666666666666666,4.0,4.0,4.0,3.0,0.6875,3.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.75,1.0,1.1388805252409209,0.16666666
6,58.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.8333333333333334,4.0,3.0,5.0,4.0,0.75,4.0,3.0,2.0,0.5,0.5,0.5,0.75,0.5,0.5,0.6,0.9122920623961632,0.5
7,24.0,2.0,0.6666666865348816,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.16666666666666666,5.0,5.0,5.0,5.0,1.0,3.0,5.0,4.0,1.0,0.5,0.5,0.25,0.75,1.0,0.0,1.0205238294919672,0.75
8,87.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.16666666666666666,4.0,4.0,4.0,2.0,0.625,2.0,2.0,2.0,0.25,0.25,0.75,0.25,0.25,1.0,1.0,1.3680920750475025,0.25
9,20.0,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.5,3.0,4.0,2.0,3.0,0.5,4.0,3.0,2.0,0.75,0.5,0.5,1.0,0.5,0.5,0.0,1.0205238294919672,0.5
10,70.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,0.8333333333333334,4.0,3.0,5.0,5.0,0.8125,4.0,3.0,2.0,0.0,0.25,0.25,0.75,0.25,1.0,1.0,2.1068715577506643,0.5
11,33.0,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.3333333333333333,3.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,1.117432304502997,0.5
12,26.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.16666666666666666,5.0,5.0,5.0,1.0,0.75,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5710556925518275,1.0
13,32.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.6666666666666666,3.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.25,0.2,1.1974266466183248,0.5
14,23.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.5,4.0,3.0,2.0,0.75,0.25,0.5,0.75,0.5,0.5,0.0,0.471320495356566,0.5
15,66.0,1.0,0.8333333134651184,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,1.0,0.0,0.8333333333333334,5.0,5.0,5.0,4.0,0.9375,4.0,3.0,5.0,0.75,1.0,0.75,0.25,0.75,0.75,0.8,0.5813832119287727,0.75
16,35.0,2.0,0.1666666716337204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.3333333333333333,5.0,5.0,5.0,5.0,1.0,3.0,4.0,2.0,0.25,0.25,0.5,0.25,0.25,0.25,0.2,1.117432304502997,0.5
17,41.0,1.0,0.8333333134651184,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.375,4.0,5.0,3.0,0.5,0.75,0.75,0.5,0.75,0.75,0.4,0.7844638776689163,0.75
18,41.0,1.0,0.3333333432674408,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.3333333333333333,4.0,4.0,2.0,2.0,0.5,4.0,1.0,4.0,0.75,0.5,0.5,0.75,0.5,0.75,0.4,0.7844638776689163,0.5
19,37.0,2.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4,1.0,0.0,0.0,0.3333333333333333,3.0,3.0,3.0,3.0,0.5,4.0,4.0,3.0,0.25,0.5,0.5,0.5,0.75,0.5,0.2,0.922148087066489,0.6666667
20,38.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.6666666666666666,3.0,3.0,3.0,1.0,0.375,4.0,2.0,3.0,0.25,0.5,0.5,0.5,0.5,1.0,0.2,0.6252518524502932,0.5
21,28.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.5,3.0,2.0,4.0,2.0,0.4375,1.0,1.0,1.0,0.0,0.5,0.5,0.25,0.5,0.5,0.0,2.0108743534390996,0.0
22,39.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.5,1.0,1.0,1.0,5.0,0.25,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0.2,0.6252518524502932,0.5
23,41.0,1.0,0.8333333134651184,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,3.0,5.0,0.75,0.75,1.0,1.0,0.75,0.5,0.4,0.7844638776689163,0.75
24,30.0,2.0,0.3333333432674408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.5,3.0,3.0,4.0,1.0,0.4375,2.0,3.0,2.0,0.25,0.75,0.25,0.25,0.0,0.25,0.2,0.5160389619096967,0.3333333
25,29.0,2.0,0.8333333134651184,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.5,4.0,4.0,5.0,5.0,0.875,2.0,2.0,4.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5710556925518275,0.4166667
26,53.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,0.5,0.75,1.0,1.0,1.0,0.6,3.473985778564532,0.6666667
