,gender,hispanic,white,black,asian,presapp,age,female,income,educ,ideology_7pt,republican,democrat,independent_other,AMID1,AMID2,AMID4,Amid,mar2,mar4,mar6,banmuslims,restrictmosques,sharia,noweapon,attention,agegroup,weight,mar_short
0,,0.0,1.0,0.0,0.0,1.0,40.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,5.0,0.9166666269302368,5.0,4.0,4.0,1.0,0.75,1.0,0.75,1.0,0.4,1.078121094221727,0.8333334
1,,0.0,1.0,0.0,0.0,1.0,65.0,0.0,0.8,0.4,0.6666666666666666,1.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,0.75,0.75,1.0,0.5,1.0,0.8,1.348604088382622,0.5
2,,0.0,1.0,0.0,0.0,0.25,61.0,1.0,0.2,0.2,0.5,0.0,0.0,1.0,5.0,5.0,5.0,1.0,3.0,2.0,3.0,0.5,0.5,0.5,0.5,0.25,0.8,1.173530413035638,0.4166667
3,,0.0,1.0,0.0,0.0,1.0,54.0,1.0,0.8,0.6,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.0,0.6,1.0476553763291885,0.5
4,,0.0,1.0,0.0,0.0,1.0,35.0,1.0,0.6,0.6,0.5,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,0.0,0.0,0.75,0.75,1.0,0.2,0.9545943910389045,0.9166666
5,,0.0,1.0,0.0,0.0,0.5,48.0,0.0,0.0,0.2,0.8333333333333334,0.0,0.0,1.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.25,0.4,2.817226076694823,0.5
6,,0.0,1.0,0.0,0.0,0.0,67.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.0,5.0,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4569060783929695,0.25
7,,0.0,1.0,0.0,0.0,0.75,79.0,0.0,0.4,0.2,0.8333333333333334,1.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,0.75,0.75,1.0,1.0,0.25,1.0,2.7968276189210455,0.4166667
8,,0.0,1.0,0.0,0.0,1.0,42.0,0.0,0.8,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.75,0.4,1.078121094221727,0.5
9,,0.0,1.0,0.0,0.0,0.0,60.0,1.0,0.2,0.8,0.5,0.0,0.0,1.0,4.0,4.0,4.0,0.75,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.75,0.8,0.5927019205790289,0.3333333
10,,0.0,1.0,0.0,0.0,0.0,66.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,5.0,0.6666666865348816,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.8,0.4569060783929695,0.0
11,,0.0,1.0,0.0,0.0,0.25,56.0,0.0,0.4,0.8,0.5,1.0,0.0,0.0,4.0,4.0,5.0,0.8333333730697632,2.0,2.0,2.0,0.5,0.5,1.0,0.0,0.25,0.6,1.5342708845321555,0.25
12,,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.4,0.8,0.16666666666666666,0.0,1.0,0.0,3.0,3.0,3.0,0.5,2.0,2.0,2.0,0.25,0.25,0.25,0.25,0.75,0.6,1.5342708845321555,0.25
13,,0.0,1.0,0.0,0.0,1.0,40.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,1.078121094221727,0.0
14,,0.0,1.0,0.0,0.0,0.0,60.0,1.0,0.4,0.6,0.6666666666666666,0.0,0.0,1.0,4.0,4.0,5.0,0.8333333730697632,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,0.8,0.6111023362769351,0.3333333
15,,0.0,1.0,0.0,0.0,0.75,64.0,1.0,0.0,0.2,0.8333333333333334,1.0,0.0,0.0,4.0,4.0,4.0,0.75,2.0,5.0,4.0,0.25,0.25,0.5,0.25,0.5,0.8,1.173530413035638,0.6666667
